GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit-assignment,sampleQueue,Queue.Node,0,6,0,0,0,1,0,1,0,1
junit-assignment,sampleQueue,Queue,23,168,0,14,4,43,1,18,1,11
junit-assignment,sampleQueue,Queue.ListIterator,8,32,1,3,2,7,2,4,1,3
